City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,78.8,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
5,Atuona,PF,78.04,light rain,-9.8,-139.03,Villa Enata
7,Ambon,ID,75.2,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
8,Davila,PH,80.6,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
9,Victoria,HK,86.0,clear sky,22.29,114.16,Mini Hotel Central
11,Mwene-Ditu,CD,78.55,clear sky,-7.0,23.45,Hôtel Kamas
15,Sri Aman,MY,77.0,overcast clouds,1.24,111.46,Seri Simanggang Hotel
18,Zambezi,ZM,79.48,broken clouds,-13.54,23.1,Royal Kutachika Lodge
20,Kalabo,ZM,79.48,broken clouds,-13.54,23.1,Royal Kutachika Lodge
29,Santa Cruz,BO,77.0,overcast clouds,-17.8,-63.17,Hotel Cortez
31,Dingle,PH,77.11,overcast clouds,11.0,122.67,Camp Pasica
32,Champerico,GT,80.6,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
38,Utinga,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
41,Casas Grandes,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
45,Aripuana,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
47,Cabinda,AO,77.0,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
49,Labuhan,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
51,Araruna,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
52,Rondonopolis,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
55,Omboue,GA,75.51,overcast clouds,-1.57,9.26,Hotel Olako
58,Ribeira Grande,PT,78.8,few clouds,38.52,-28.7,Quinta da Meia Eira
65,Shenzhen,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
69,Sola,VU,77.0,overcast clouds,-13.88,167.55,Leumerus Bungalows
74,Heishan,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
75,Castro,BR,77.63,few clouds,-24.79,-50.01,CHACARA BAILLY
78,Pokaran,IN,86.41,broken clouds,26.92,71.92,Motel Pokaran - RTDC
81,Lumeje,AO,77.0,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
84,Caravelas,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
89,Itarema,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
94,Sangamner,IN,86.41,broken clouds,26.92,71.92,Motel Pokaran - RTDC
98,Mayumba,GA,75.51,overcast clouds,-1.57,9.26,Hotel Olako
105,Terpsithea,GR,87.8,few clouds,39.62,22.37,Divani Palace Larissa
106,Kilindoni,TZ,77.38,clear sky,-7.91,39.67,Bustani B&B
107,Punta Arenas,BR,77.63,few clouds,-24.79,-50.01,CHACARA BAILLY
110,Constitucion,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
112,Peruibe,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
118,Saint George,US,84.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
125,Paramirim,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
