City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Benghazi,LY,32.12,20.07,77.92,77,0,14.79,clear sky
1,Yellowknife,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
2,Kamina,CD,-8.74,24.99,66.6,45,0,3.74,clear sky
3,Tramore,IE,52.16,-7.15,53.01,83,77,10.0,broken clouds
4,Nuuk,GL,64.18,-51.72,48.2,81,100,20.8,light snow
5,Hermanus,ZA,-34.42,19.23,54.0,85,100,3.0,overcast clouds
6,Victoria,HK,22.29,114.16,88.0,75,58,8.99,broken clouds
7,Ushuaia,AR,-54.8,-68.3,37.4,93,90,4.7,light intensity drizzle
8,Palana,RU,59.12,159.97,48.99,65,0,10.16,clear sky
9,Cockburn Town,TC,21.46,-71.14,82.89,80,98,19.86,overcast clouds
10,Rikitea,PF,-23.12,-134.97,72.3,86,61,11.83,broken clouds
11,Hobart,AU,-42.88,147.33,59.0,47,75,17.22,broken clouds
12,Hasaki,JP,35.73,140.83,95.0,66,20,8.05,few clouds
13,Mataura,NZ,-46.19,168.86,58.33,57,100,5.48,overcast clouds
14,Axim,GH,4.87,-2.24,75.27,88,98,8.57,light rain
15,Dikson,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
16,Arraial Do Cabo,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
17,Georgetown,MY,5.41,100.34,80.6,83,40,5.82,scattered clouds
18,Kabwe,ZM,-14.45,28.45,52.48,75,0,4.56,clear sky
19,Albany,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
20,Yarada,IN,17.65,83.27,84.2,89,40,2.24,mist
21,Port Elizabeth,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
22,Nanortalik,GL,64.18,-51.72,48.2,81,100,20.8,light snow
23,Siverek,TR,37.76,39.32,78.8,16,0,11.41,clear sky
24,Raisinghnagar,IN,17.65,83.27,84.2,89,40,2.24,mist
25,Bambous Virieux,MU,-20.34,57.76,66.99,82,75,8.05,shower rain
26,Chapais,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
27,Bani Walid,LY,32.12,20.07,77.92,77,0,14.79,clear sky
28,Pisco,PE,-13.7,-76.22,59.0,82,0,10.29,clear sky
29,Fare,NZ,-46.19,168.86,58.33,57,100,5.48,overcast clouds
30,Bien Hoa,VN,10.95,106.82,87.8,79,75,8.05,broken clouds
31,Busselton,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
32,Maumere,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
33,Qaanaaq,GL,64.18,-51.72,48.2,81,100,20.8,light snow
34,Longyearbyen,SJ,78.22,15.64,42.8,93,75,6.93,broken clouds
35,Punta Arenas,CL,-53.15,-70.92,37.4,74,70,5.82,broken clouds
36,Calama,CL,-53.15,-70.92,37.4,74,70,5.82,broken clouds
37,Alofi,NU,-19.06,-169.92,78.17,83,60,10.47,broken clouds
38,Carbonia,IT,39.17,8.52,70.0,93,5,2.24,clear sky
39,East London,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
40,Narsaq,GL,64.18,-51.72,48.2,81,100,20.8,light snow
41,Cape Town,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
42,Ahipara,NZ,-35.17,173.17,57.9,60,0,7.85,clear sky
43,Butaritari,KI,3.07,172.79,83.19,66,20,2.1,few clouds
44,Hilo,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
45,Illoqqortoormiut,GL,64.18,-51.72,48.2,81,100,20.8,light snow
46,Cidreira,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
47,Luderitz,NA,-26.65,15.16,52.36,82,0,1.61,clear sky
48,Vaini,TO,-21.2,-175.2,73.4,64,20,19.46,few clouds
49,Chokurdakh,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
50,Tasiilaq,GL,64.18,-51.72,48.2,81,100,20.8,light snow
51,Lisala,CD,-8.74,24.99,66.6,45,0,3.74,clear sky
52,Adrar,MR,20.5,-10.07,92.59,30,16,7.9,few clouds
53,Kapaa,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
54,Kroya,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
55,Bluff,NZ,-35.17,173.17,57.9,60,0,7.85,clear sky
56,Mar Del Plata,AR,-38.0,-57.56,51.01,87,50,16.11,light rain
57,Brasileia,BR,-22.97,-42.03,71.17,87,0,22.35,clear sky
58,Nicoya,CR,10.15,-85.45,75.72,87,96,0.92,overcast clouds
59,Port Alfred,ZA,-33.92,25.57,50.0,87,0,4.7,clear sky
60,Airai,TL,-8.93,125.41,79.21,39,17,6.69,few clouds
61,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,90,6.93,overcast clouds
62,Northam,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
63,Celestun,MX,20.87,-90.4,82.54,79,41,15.68,light rain
64,Attawapiskat,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
65,Kununurra,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
66,Kodiak,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
67,Marsh Harbour,BS,26.54,-77.06,83.97,79,100,11.1,overcast clouds
68,Atar,MR,20.52,-13.05,89.58,45,33,11.74,scattered clouds
69,Nikolskoye,RU,73.51,80.55,39.9,83,63,10.13,broken clouds
70,Saint-Augustin,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
71,Acajutla,SV,13.59,-89.83,70.0,100,100,3.44,overcast clouds
72,Upernavik,GL,64.18,-51.72,48.2,81,100,20.8,light snow
73,Samarai,PG,-10.62,150.67,78.46,80,81,14.83,broken clouds
74,Isla Mujeres,MX,20.87,-90.4,82.54,79,41,15.68,light rain
75,Tianpeng,CN,30.99,103.94,82.0,18,3,1.01,clear sky
76,Salalah,OM,17.02,54.09,78.8,88,40,2.24,scattered clouds
77,Faya,SA,18.39,42.45,64.4,31,0,8.23,clear sky
78,Hauzenberg,DE,48.65,13.63,57.99,86,91,1.68,overcast clouds
79,Porto Santo,PT,33.07,-16.34,69.8,77,20,6.93,few clouds
80,Cortez,US,19.73,-155.09,82.4,65,90,4.7,overcast clouds
