City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Georgetown,MY,2020-08-30 20:28:51,5.41,100.34,80.6,94,40,2.24
1,Faanui,PF,2020-08-30 20:30:08,-16.48,-151.75,76.86,76,18,22.46
2,Albany,US,2020-08-30 20:26:15,42.6,-73.97,72.0,44,0,13.24
3,Canas,CR,2020-08-30 20:30:08,10.43,-85.09,86.0,79,40,9.17
4,Geraldton,AU,2020-08-30 20:27:42,-28.77,114.6,44.6,93,0,10.29
5,Kapaa,US,2020-08-30 20:30:09,22.08,-159.32,82.99,69,40,16.11
6,Esperance,AU,2020-08-30 20:30:09,-33.87,121.9,42.8,93,0,11.41
7,Wenatchee,US,2020-08-30 20:30:09,47.42,-120.31,78.01,20,1,3.36
8,Yurimaguas,PE,2020-08-30 20:30:09,-5.9,-76.08,95.0,59,40,6.93
9,Luderitz,NA,2020-08-30 20:26:18,-26.65,15.16,56.55,39,85,28.1
10,Mataura,NZ,2020-08-30 20:30:10,-46.19,168.86,52.75,54,61,9.71
11,Cabo San Lucas,MX,2020-08-30 20:29:28,22.89,-109.91,89.6,78,20,10.29
12,Port Alfred,ZA,2020-08-30 20:30:10,-33.59,26.89,50.68,74,13,11.25
13,Saint-Philippe,RE,2020-08-30 20:30:11,-21.36,55.77,71.6,77,37,5.82
14,Vaini,TO,2020-08-30 20:30:11,-21.2,-175.2,77.0,83,75,12.75
15,Hermanus,ZA,2020-08-30 20:30:11,-34.42,19.23,39.99,91,2,12.35
16,Cherskiy,RU,2020-08-30 20:30:11,68.75,161.3,38.52,88,100,8.75
17,Avarua,CK,2020-08-30 20:30:12,-21.21,-159.78,77.0,73,20,18.34
18,Ancud,CL,2020-08-30 20:30:12,-41.87,-73.82,52.0,93,86,5.01
19,Rayevskiy,RU,2020-08-30 20:30:12,54.07,54.95,58.1,87,76,3.51
20,Ushuaia,AR,2020-08-30 20:26:07,-54.8,-68.3,28.4,92,75,24.16
21,Punta Arenas,CL,2020-08-30 20:29:29,-53.15,-70.92,35.6,47,75,20.8
22,Nanortalik,GL,2020-08-30 20:30:13,60.14,-45.24,47.53,77,100,7.31
23,Rikitea,PF,2020-08-30 20:30:15,-23.12,-134.97,69.03,83,23,19.69
24,Port-Gentil,GA,2020-08-30 20:26:57,-0.72,8.78,77.0,83,90,15.99
25,Avarua,CK,2020-08-30 20:30:12,-21.21,-159.78,77.0,73,20,18.34
26,Bluff,NZ,2020-08-30 20:30:16,-46.6,168.33,52.9,62,71,22.35
27,Kamyaran,IR,2020-08-30 20:30:16,34.8,46.94,82.4,13,0,9.17
28,Coihaique,CL,2020-08-30 20:30:16,-45.58,-72.07,50.0,53,20,6.93
29,Timizart,DZ,2020-08-30 20:30:17,36.8,4.27,68.79,91,100,5.3
30,Barrow,US,2020-08-30 20:26:41,71.29,-156.79,39.2,93,90,14.99
31,Rikitea,PF,2020-08-30 20:30:15,-23.12,-134.97,69.03,83,23,19.69
32,Longhua,CN,2020-08-30 20:30:17,23.61,114.19,79.47,79,97,1.14
33,Homer,US,2020-08-30 20:30:18,59.64,-151.55,55.4,76,75,5.82
34,Saskylakh,RU,2020-08-30 20:30:18,71.92,114.08,46.29,84,70,5.17
35,Tarangnan,PH,2020-08-30 20:30:18,11.9,124.75,82.27,80,91,7.76
36,Acheng,CN,2020-08-30 20:30:19,45.55,126.98,64.4,100,100,6.71
37,Ostrovnoy,RU,2020-08-30 20:26:28,68.05,39.51,45.12,87,51,7.87
38,Vostok,RU,2020-08-30 20:30:19,46.49,135.88,46.2,86,99,4.03
39,Atar,MR,2020-08-30 20:30:19,20.52,-13.05,94.51,15,1,10.4
40,Tuktoyaktuk,CA,2020-08-30 20:30:20,69.45,-133.04,41.0,93,90,17.22
41,Trairi,BR,2020-08-30 20:30:20,-3.28,-39.27,79.14,73,0,15.08
42,Saldanha,ZA,2020-08-30 20:30:20,-33.01,17.94,42.8,75,0,2.24
43,Mitsamiouli,KM,2020-08-30 20:30:20,-11.38,43.28,76.44,66,0,3.33
44,Albany,US,2020-08-30 20:26:15,42.6,-73.97,72.0,44,0,13.24
45,Det Udom,TH,2020-08-30 20:30:21,14.91,105.08,77.0,100,20,4.79
46,Ostrovnoy,RU,2020-08-30 20:26:28,68.05,39.51,45.12,87,51,7.87
47,Doha,QA,2020-08-30 20:30:04,25.29,51.53,96.01,59,10,6.93
48,Bengkulu,ID,2020-08-30 20:25:39,-3.8,102.27,76.08,85,100,2.91
49,Abha,SA,2020-08-30 20:27:27,18.22,42.51,75.2,20,47,8.05
50,Lebu,CL,2020-08-30 20:30:22,-37.62,-73.65,49.68,70,0,26.19
51,Te Anau,NZ,2020-08-30 20:30:22,-45.42,167.72,50.9,71,26,12.1
52,Vila Velha,BR,2020-08-30 20:30:22,-20.33,-40.29,79.0,83,20,14.99
53,Albany,US,2020-08-30 20:26:15,42.6,-73.97,72.0,44,0,13.24
54,Jamestown,US,2020-08-30 20:26:33,42.1,-79.24,70.0,59,90,6.93
55,Northam,GB,2020-08-30 20:30:23,51.03,-4.22,55.0,81,100,3.0
56,Longyearbyen,SJ,2020-08-30 20:30:23,78.22,15.64,39.2,80,75,13.87
57,Avarua,CK,2020-08-30 20:30:12,-21.21,-159.78,77.0,73,20,18.34
58,Bluff,NZ,2020-08-30 20:30:16,-46.6,168.33,52.9,62,71,22.35
59,Dikson,RU,2020-08-30 20:30:24,73.51,80.55,41.9,96,100,15.61
60,Cape Town,ZA,2020-08-30 20:28:21,-33.93,18.42,42.8,81,0,8.05
61,Namibe,AO,2020-08-30 20:30:24,-15.2,12.15,62.47,69,3,6.2
62,Nagato,JP,2020-08-30 20:30:24,34.38,131.2,82.4,78,20,5.82
63,Namibe,AO,2020-08-30 20:30:24,-15.2,12.15,62.47,69,3,6.2
64,Geraldton,AU,2020-08-30 20:27:42,-28.77,114.6,44.6,93,0,10.29
65,Khatanga,RU,2020-08-30 20:28:31,71.97,102.5,44.37,90,96,7.43
66,Mataura,NZ,2020-08-30 20:30:25,-46.19,168.86,52.75,54,61,9.71
67,Butaritari,KI,2020-08-30 20:30:25,3.07,172.79,82.85,73,23,11.41
68,New Norfolk,AU,2020-08-30 20:30:26,-42.78,147.06,43.0,72,2,1.99
69,Albany,US,2020-08-30 20:26:15,42.6,-73.97,72.0,44,0,13.24
70,Cape Town,ZA,2020-08-30 20:28:21,-33.93,18.42,42.8,81,0,8.05
71,Butaritari,KI,2020-08-30 20:30:25,3.07,172.79,82.85,73,23,11.41
72,Lebu,CL,2020-08-30 20:30:22,-37.62,-73.65,49.68,70,0,26.19
73,Busselton,AU,2020-08-30 20:30:27,-33.65,115.33,39.99,75,0,3.74
74,Hualmay,PE,2020-08-30 20:30:27,-11.1,-77.61,65.41,71,17,11.48
75,Pindwara,IN,2020-08-30 20:30:27,24.8,73.07,74.21,92,91,5.1
76,Nakapiripirit,UG,2020-08-30 20:30:28,1.92,34.78,69.46,68,49,0.89
77,Hobart,AU,2020-08-30 20:25:52,-42.88,147.33,43.0,60,20,10.29
78,Roseburg,US,2020-08-30 20:30:28,43.22,-123.34,75.0,28,1,10.29
79,Rikitea,PF,2020-08-30 20:30:15,-23.12,-134.97,69.03,83,23,19.69
80,Kruisfontein,ZA,2020-08-30 20:30:28,-34.0,24.73,46.0,81,30,8.28
81,Nikolskoye,RU,2020-08-30 20:26:36,59.7,30.79,60.01,87,93,4.47
82,Vaini,TO,2020-08-30 20:30:11,-21.2,-175.2,77.0,83,75,12.75
83,Aklavik,CA,2020-08-30 20:28:16,68.22,-135.01,46.4,81,75,4.7
84,Butaritari,KI,2020-08-30 20:30:25,3.07,172.79,82.85,73,23,11.41
85,Zhigansk,RU,2020-08-30 20:30:29,66.77,123.37,48.47,94,100,8.61
86,Qaanaaq,GL,2020-08-30 20:26:37,77.48,-69.36,34.0,77,0,4.56
87,Roebourne,AU,2020-08-30 20:30:30,-20.78,117.13,70.68,44,3,1.74
88,Gravdal,NO,2020-08-30 20:30:30,68.12,13.5,42.8,81,40,2.24
89,Shambu,ET,2020-08-30 20:30:31,9.57,37.1,51.64,100,100,3.15
90,Tuktoyaktuk,CA,2020-08-30 20:30:20,69.45,-133.04,41.0,93,90,17.22
91,Rikitea,PF,2020-08-30 20:30:15,-23.12,-134.97,69.03,83,23,19.69
92,Punta Arenas,CL,2020-08-30 20:29:29,-53.15,-70.92,35.6,47,75,20.8
93,Leningradskiy,RU,2020-08-30 20:27:41,69.38,178.42,35.6,92,100,7.07
94,Gua Musang,MY,2020-08-30 20:30:32,4.88,101.96,73.42,92,87,1.25
95,Ushuaia,AR,2020-08-30 20:26:07,-54.8,-68.3,28.4,92,75,24.16
96,Dikson,RU,2020-08-30 20:30:24,73.51,80.55,41.9,96,100,15.61
97,Boa Vista,BR,2020-08-30 20:30:33,2.82,-60.67,80.6,74,75,6.93
98,Hasaki,JP,2020-08-30 20:30:33,35.73,140.83,77.0,94,75,3.36
99,Kapaa,US,2020-08-30 20:26:24,22.08,-159.32,84.0,69,40,16.11
100,Laukaa,RU,2020-08-30 20:30:33,58.74,29.85,55.94,90,97,6.42
101,Marrakesh,MA,2020-08-30 20:30:01,31.63,-8.01,84.2,28,20,10.29
102,Chuy,UY,2020-08-30 20:30:34,-33.7,-53.46,47.34,71,93,5.73
103,Busselton,AU,2020-08-30 20:30:27,-33.65,115.33,39.99,75,0,3.74
104,Soe,ID,2020-08-30 20:30:34,-9.86,124.28,62.29,99,36,4.83
105,Punta Arenas,CL,2020-08-30 20:29:29,-53.15,-70.92,35.6,47,75,20.8
106,Rikitea,PF,2020-08-30 20:30:15,-23.12,-134.97,69.03,83,23,19.69
107,Potosi,BO,2020-08-30 20:30:35,-19.58,-65.75,52.0,44,82,20.15
108,Creel,MX,2020-08-30 20:30:35,27.75,-107.63,71.28,61,93,5.26
109,Bredasdorp,ZA,2020-08-30 20:26:19,-34.53,20.04,42.8,81,32,4.7
110,Kailua,US,2020-08-30 20:30:35,21.4,-157.74,86.0,61,40,17.22
111,Vaini,TO,2020-08-30 20:30:11,-21.2,-175.2,77.0,83,75,12.75
112,Broken Hill,AU,2020-08-30 20:30:36,-31.95,141.43,44.6,87,0,10.29
113,Provideniya,RU,2020-08-30 20:30:36,64.38,-173.3,53.6,66,75,13.42
114,Yellowknife,CA,2020-08-30 20:30:36,62.46,-114.35,53.6,58,40,16.11
115,Kalianget,ID,2020-08-30 20:30:37,-7.05,113.93,78.8,70,97,11.21
116,Mahebourg,MU,2020-08-30 20:30:37,-20.41,57.7,69.8,94,40,18.34
117,Barrow,US,2020-08-30 20:26:41,71.29,-156.79,39.2,93,90,14.99
118,Ribeira Grande,PT,2020-08-30 20:30:37,38.52,-28.7,77.0,94,75,9.17
119,Ushuaia,AR,2020-08-30 20:26:07,-54.8,-68.3,28.4,92,75,24.16
120,Ushuaia,AR,2020-08-30 20:26:07,-54.8,-68.3,28.4,92,75,24.16
121,Farmington,US,2020-08-30 20:26:54,36.73,-108.22,86.0,20,1,10.29
122,Xai-Xai,MZ,2020-08-30 20:30:38,-25.05,33.64,67.75,72,97,17.9
123,Dunedin,NZ,2020-08-30 20:30:39,-45.87,170.5,55.99,49,100,5.99
124,Rawson,AR,2020-08-30 20:30:39,-43.3,-65.1,48.15,55,14,22.77
125,Butaritari,KI,2020-08-30 20:30:25,3.07,172.79,82.85,73,23,11.41
126,Barrow,US,2020-08-30 20:26:41,71.29,-156.79,39.2,93,90,14.99
127,Carauari,BR,2020-08-30 20:30:39,-4.88,-66.9,89.76,51,94,0.13
128,Mayo,US,2020-08-30 20:30:40,38.89,-76.51,82.0,47,1,6.93
129,Albany,US,2020-08-30 20:26:15,42.6,-73.97,72.0,44,0,13.24
130,Hobart,AU,2020-08-30 20:25:52,-42.88,147.33,43.0,60,20,10.29
131,Cidreira,BR,2020-08-30 20:30:40,-30.18,-50.21,56.1,91,100,11.05
